Time,UAV_ID,Lyapunov,PosError_Lat,PosError_Lon,VelError_Lat,VelError_Lon,Control_Lat,Control_Lon
0.250,2,0.000001,0.001439,-0.000820,0.000000,0.000000,-0.001439,0.000820
0.500,2,0.000001,0.001370,-0.000780,0.000000,0.000000,-0.001370,0.000780
0.751,2,0.000001,0.001312,-0.000729,0.000000,0.000000,-0.001312,0.000729
1.001,2,0.000001,0.001312,-0.000729,0.000000,0.000000,-0.001312,0.000729
1.251,2,0.000001,0.001316,-0.000457,0.000000,0.000000,-0.001316,0.000457
1.502,2,0.000001,0.001341,-0.000270,0.000000,0.000000,-0.001341,0.000270
1.752,2,0.000001,0.001144,-0.000242,0.000000,0.000000,-0.001144,0.000242
2.003,2,0.000001,0.001051,-0.000216,0.000000,0.000000,-0.001051,0.000216
2.253,2,0.000000,0.000938,0.000011,0.000000,0.000000,-0.000938,-0.000011
2.503,2,0.000000,0.000769,0.000066,0.000000,0.000000,-0.000769,-0.000066
2.754,2,0.000000,0.000741,0.000247,0.000000,0.000000,-0.000741,-0.000247
3.004,2,0.000000,0.000602,0.000481,0.000000,0.000000,-0.000602,-0.000481
3.254,2,0.000000,0.000525,0.000561,0.000000,0.000000,-0.000525,-0.000561
3.504,2,0.000000,0.000474,0.000631,0.000000,0.000000,-0.000474,-0.000631
3.755,2,0.000000,0.000278,0.000866,0.000000,0.000000,-0.000278,-0.000866
4.005,2,0.000000,0.000202,0.000917,0.000000,0.000000,-0.000202,-0.000917
4.255,2,0.000000,0.000202,0.000917,0.000000,0.000000,-0.000202,-0.000917
4.505,2,0.000001,0.000054,0.001015,0.000000,0.000000,-0.000054,-0.001015
4.755,2,0.000001,-0.000369,0.001391,0.000000,0.000000,0.000369,-0.001391
5.005,2,0.000001,-0.000433,0.001430,0.000000,0.000000,0.000433,-0.001430
5.256,2,0.000001,-0.000433,0.001430,0.000000,0.000000,0.000433,-0.001430
5.506,2,0.000002,-0.000798,0.001560,0.000000,0.000000,0.000798,-0.001560
5.757,2,0.000002,-0.000925,0.001604,0.000000,0.000000,0.000925,-0.001604
6.007,2,0.000002,-0.001163,0.001586,0.000000,0.000000,0.001163,-0.001586
6.257,2,0.000002,-0.001225,0.001606,0.000000,0.000000,0.001225,-0.001606
6.508,2,0.000002,-0.001225,0.001606,0.000000,0.000000,0.001225,-0.001606
6.758,2,0.000002,-0.001516,0.001511,0.000000,0.000000,0.001516,-0.001511
7.008,2,0.000002,-0.001643,0.001394,0.000000,0.000000,0.001643,-0.001394
7.258,2,0.000002,-0.001643,0.001394,0.000000,0.000000,0.001643,-0.001394
7.508,2,0.000002,-0.001766,0.001339,0.000000,0.000000,0.001766,-0.001339
7.759,2,0.000003,-0.001906,0.001316,0.000000,0.000000,0.001906,-0.001316
8.009,2,0.000003,-0.002001,0.001273,0.000000,0.000000,0.002001,-0.001273
8.259,2,0.000003,-0.002001,0.001273,0.000000,0.000000,0.002001,-0.001273
8.509,2,0.000003,-0.002034,0.001222,0.000000,0.000000,0.002034,-0.001222
8.759,2,0.000003,-0.001970,0.001093,0.000000,0.000000,0.001970,-0.001093
9.009,2,0.000003,-0.002104,0.001122,0.000000,0.000000,0.002104,-0.001122
9.260,2,0.000003,-0.002091,0.001084,0.000000,0.000000,0.002091,-0.001084
9.510,2,0.000003,-0.002015,0.001005,0.000000,0.000000,0.002015,-0.001005
9.760,2,0.000003,-0.002162,0.001107,0.000000,0.000000,0.002162,-0.001107
10.011,2,0.000003,-0.002199,0.001132,0.000000,0.000000,0.002199,-0.001132
10.261,2,0.000003,-0.002168,0.001084,0.000000,0.000000,0.002168,-0.001084
10.511,2,0.000003,-0.002123,0.001049,0.000000,0.000000,0.002123,-0.001049
10.762,2,0.000003,-0.002127,0.001055,0.000000,0.000000,0.002127,-0.001055
11.012,2,0.000003,-0.002137,0.001064,0.000000,0.000000,0.002137,-0.001064
11.263,2,0.000003,-0.002086,0.001033,0.000000,0.000000,0.002086,-0.001033
11.514,2,0.000003,-0.002120,0.001068,0.000000,0.000000,0.002120,-0.001068
11.764,2,0.000003,-0.002037,0.001026,0.000000,0.000000,0.002037,-0.001026
12.014,2,0.000003,-0.002110,0.001077,0.000000,0.000000,0.002110,-0.001077
12.264,2,0.000003,-0.002150,0.001119,0.000000,0.000000,0.002150,-0.001119
12.515,2,0.000003,-0.002073,0.001078,0.000000,0.000000,0.002073,-0.001078
12.765,2,0.000003,-0.002073,0.001078,0.000000,0.000000,0.002073,-0.001078
13.015,2,0.000003,-0.002058,0.001100,0.000000,0.000000,0.002058,-0.001100
13.265,2,0.000003,-0.002101,0.001128,0.000000,0.000000,0.002101,-0.001128
13.516,2,0.000003,-0.002134,0.001169,0.000000,0.000000,0.002134,-0.001169
13.766,2,0.000003,-0.002094,0.001162,0.000000,0.000000,0.002094,-0.001162
14.016,2,0.000003,-0.002166,0.001203,0.000000,0.000000,0.002166,-0.001203
14.266,2,0.000003,-0.002087,0.001172,0.000000,0.000000,0.002087,-0.001172
14.516,2,0.000003,-0.002120,0.001206,0.000000,0.000000,0.002120,-0.001206
14.766,2,0.000003,-0.002239,0.001288,0.000000,0.000000,0.002239,-0.001288
15.018,2,0.000003,-0.002116,0.001219,0.000000,0.000000,0.002116,-0.001219
15.268,2,0.000003,-0.002189,0.001270,0.000000,0.000000,0.002189,-0.001270
15.519,2,0.000003,-0.002109,0.001240,0.000000,0.000000,0.002109,-0.001240
15.769,2,0.000003,-0.002071,0.001218,0.000000,0.000000,0.002071,-0.001218
16.019,2,0.000003,-0.002068,0.001240,0.000000,0.000000,0.002068,-0.001240
16.269,2,0.000003,-0.002111,0.001264,0.000000,0.000000,0.002111,-0.001264
16.520,2,0.000003,-0.002061,0.001247,0.000000,0.000000,0.002061,-0.001247
16.770,2,0.000003,-0.002053,0.001251,0.000000,0.000000,0.002053,-0.001251
17.021,2,0.000003,-0.002059,0.001253,0.000000,0.000000,0.002059,-0.001253
17.271,2,0.000003,-0.002055,0.001262,0.000000,0.000000,0.002055,-0.001262
17.521,2,0.000003,-0.002055,0.001262,0.000000,0.000000,0.002055,-0.001262
17.771,2,0.000002,-0.001866,0.001149,0.000000,0.000000,0.001866,-0.001149
18.021,2,0.000002,-0.001736,0.001070,0.000000,0.000000,0.001736,-0.001070
18.271,2,0.000002,-0.001690,0.001043,0.000000,0.000000,0.001690,-0.001043
18.522,2,0.000003,-0.002058,0.001296,0.000000,0.000000,0.002058,-0.001296
18.772,2,0.000003,-0.002079,0.001319,0.000000,0.000000,0.002079,-0.001319
19.022,2,0.000003,-0.002079,0.001319,0.000000,0.000000,0.002079,-0.001319
19.273,2,0.000003,-0.002034,0.001300,0.000000,0.000000,0.002034,-0.001300
19.523,2,0.000003,-0.002050,0.001317,0.000000,0.000000,0.002050,-0.001317
19.773,2,0.000003,-0.001957,0.001258,0.000000,0.000000,0.001957,-0.001258
20.023,2,0.000003,-0.001924,0.001237,0.000000,0.000000,0.001924,-0.001237
