Time,UAV_ID,Lyapunov,PosError_Lat,PosError_Lon,VelError_Lat,VelError_Lon,Control_Lat,Control_Lon
0.250,0,0.000068,-0.009705,0.006430,0.000000,0.000000,0.009705,-0.006430
0.500,0,0.000067,-0.009623,0.006405,0.000000,0.000000,0.009623,-0.006405
0.751,0,0.000066,-0.009540,0.006385,0.000000,0.000000,0.009540,-0.006385
1.001,0,0.000066,-0.009540,0.006385,0.000000,0.000000,0.009540,-0.006385
1.251,0,0.000064,-0.009379,0.006333,0.000000,0.000000,0.009379,-0.006334
1.502,0,0.000064,-0.009379,0.006333,0.000000,0.000000,0.009379,-0.006334
1.752,0,0.000062,-0.009223,0.006264,0.000000,0.000000,0.009223,-0.006264
2.002,0,0.000061,-0.009144,0.006225,0.000000,0.000000,0.009144,-0.006225
2.253,0,0.000060,-0.009049,0.006174,0.000000,0.000000,0.009049,-0.006174
2.503,0,0.000058,-0.008909,0.006094,0.000000,0.000000,0.008909,-0.006094
2.754,0,0.000058,-0.008918,0.006099,0.000000,0.000000,0.008918,-0.006099
3.004,0,0.000057,-0.008814,0.006037,0.000000,0.000000,0.008814,-0.006037
3.254,0,0.000056,-0.008768,0.006008,0.000000,0.000000,0.008768,-0.006008
3.504,0,0.000056,-0.008730,0.005985,0.000000,0.000000,0.008730,-0.005985
3.755,0,0.000055,-0.008619,0.005914,0.000000,0.000000,0.008619,-0.005914
4.005,0,0.000054,-0.008544,0.005866,0.000000,0.000000,0.008544,-0.005866
4.255,0,0.000054,-0.008544,0.005866,0.000000,0.000000,0.008544,-0.005866
4.505,0,0.000052,-0.008396,0.005768,0.000000,0.000000,0.008396,-0.005768
4.755,0,0.000050,-0.008259,0.005676,0.000000,0.000000,0.008259,-0.005676
5.005,0,0.000050,-0.008211,0.005644,0.000000,0.000000,0.008211,-0.005644
5.256,0,0.000050,-0.008211,0.005644,0.000000,0.000000,0.008211,-0.005644
5.506,0,0.000048,-0.008064,0.005544,0.000000,0.000000,0.008064,-0.005545
5.757,0,0.000047,-0.007982,0.005489,0.000000,0.000000,0.007982,-0.005489
6.007,0,0.000046,-0.007890,0.005426,0.000000,0.000000,0.007890,-0.005426
6.257,0,0.000045,-0.007843,0.005393,0.000000,0.000000,0.007843,-0.005394
6.508,0,0.000045,-0.007843,0.005393,0.000000,0.000000,0.007843,-0.005394
6.758,0,0.000044,-0.007696,0.005292,0.000000,0.000000,0.007696,-0.005292
7.008,0,0.000043,-0.007623,0.005241,0.000000,0.000000,0.007623,-0.005241
7.258,0,0.000043,-0.007623,0.005241,0.000000,0.000000,0.007623,-0.005241
7.508,0,0.000042,-0.007513,0.005165,0.000000,0.000000,0.007513,-0.005165
7.759,0,0.000040,-0.007366,0.005063,0.000000,0.000000,0.007366,-0.005063
8.009,0,0.000039,-0.007247,0.004980,0.000000,0.000000,0.007247,-0.004981
8.259,0,0.000039,-0.007247,0.004980,0.000000,0.000000,0.007247,-0.004981
8.509,0,0.000038,-0.007183,0.004935,0.000000,0.000000,0.007183,-0.004935
8.759,0,0.000038,-0.007183,0.004935,0.000000,0.000000,0.007183,-0.004935
9.009,0,0.000036,-0.006972,0.004789,0.000000,0.000000,0.006972,-0.004790
9.260,0,0.000035,-0.006926,0.004757,0.000000,0.000000,0.006926,-0.004757
9.510,0,0.000035,-0.006926,0.004757,0.000000,0.000000,0.006926,-0.004757
9.760,0,0.000034,-0.006779,0.004655,0.000000,0.000000,0.006779,-0.004655
10.011,0,0.000033,-0.006742,0.004630,0.000000,0.000000,0.006742,-0.004630
10.261,0,0.000032,-0.006605,0.004535,0.000000,0.000000,0.006605,-0.004536
10.511,0,0.000032,-0.006559,0.004503,0.000000,0.000000,0.006559,-0.004503
10.762,0,0.000031,-0.006465,0.004438,0.000000,0.000000,0.006465,-0.004439
11.012,0,0.000030,-0.006412,0.004401,0.000000,0.000000,0.006412,-0.004401
11.263,0,0.000030,-0.006412,0.004401,0.000000,0.000000,0.006412,-0.004401
11.514,0,0.000029,-0.006265,0.004299,0.000000,0.000000,0.006265,-0.004299
11.764,0,0.000029,-0.006228,0.004274,0.000000,0.000000,0.006228,-0.004274
12.014,0,0.000028,-0.006154,0.004223,0.000000,0.000000,0.006154,-0.004223
12.264,0,0.000027,-0.006006,0.004121,0.000000,0.000000,0.006006,-0.004121
12.515,0,0.000027,-0.006006,0.004121,0.000000,0.000000,0.006006,-0.004121
12.765,0,0.000027,-0.006006,0.004121,0.000000,0.000000,0.006006,-0.004121
13.015,0,0.000025,-0.005823,0.003994,0.000000,0.000000,0.005823,-0.003994
13.265,0,0.000025,-0.005786,0.003969,0.000000,0.000000,0.005786,-0.003969
13.515,0,0.000023,-0.005638,0.003867,0.000000,0.000000,0.005638,-0.003867
13.766,0,0.000023,-0.005546,0.003804,0.000000,0.000000,0.005546,-0.003804
14.016,0,0.000022,-0.005529,0.003792,0.000000,0.000000,0.005529,-0.003792
14.266,0,0.000022,-0.005455,0.003741,0.000000,0.000000,0.005455,-0.003741
14.516,0,0.000021,-0.005344,0.003665,0.000000,0.000000,0.005344,-0.003665
14.766,0,0.000020,-0.005226,0.003583,0.000000,0.000000,0.005226,-0.003583
15.018,0,0.000020,-0.005234,0.003589,0.000000,0.000000,0.005234,-0.003589
15.268,0,0.000020,-0.005160,0.003538,0.000000,0.000000,0.005160,-0.003538
15.519,0,0.000019,-0.005050,0.003462,0.000000,0.000000,0.005050,-0.003462
15.769,0,0.000019,-0.005050,0.003462,0.000000,0.000000,0.005050,-0.003462
16.019,0,0.000017,-0.004858,0.003330,0.000000,0.000000,0.004858,-0.003330
16.269,0,0.000017,-0.004858,0.003330,0.000000,0.000000,0.004858,-0.003330
16.520,0,0.000017,-0.004755,0.003259,0.000000,0.000000,0.004755,-0.003259
16.770,0,0.000016,-0.004682,0.003209,0.000000,0.000000,0.004682,-0.003209
17.021,0,0.000016,-0.004682,0.003209,0.000000,0.000000,0.004682,-0.003209
17.271,0,0.000015,-0.004571,0.003132,0.000000,0.000000,0.004571,-0.003133
17.521,0,0.000015,-0.004571,0.003132,0.000000,0.000000,0.004571,-0.003133
17.771,0,0.000015,-0.004571,0.003132,0.000000,0.000000,0.004571,-0.003133
18.021,0,0.000015,-0.004571,0.003132,0.000000,0.000000,0.004571,-0.003133
18.271,0,0.000015,-0.004571,0.003132,0.000000,0.000000,0.004571,-0.003133
18.522,0,0.000013,-0.004203,0.002880,0.000000,0.000000,0.004203,-0.002880
18.772,0,0.000012,-0.004056,0.002778,0.000000,0.000000,0.004056,-0.002778
19.022,0,0.000012,-0.004056,0.002778,0.000000,0.000000,0.004056,-0.002778
19.273,0,0.000011,-0.003946,0.002702,0.000000,0.000000,0.003946,-0.002702
19.523,0,0.000011,-0.003835,0.002626,0.000000,0.000000,0.003835,-0.002626
19.773,0,0.000011,-0.003835,0.002626,0.000000,0.000000,0.003835,-0.002626
20.023,0,0.000011,-0.003835,0.002626,0.000000,0.000000,0.003835,-0.002626
20.273,0,0.000010,-0.003651,0.002499,0.000000,0.000000,0.003651,-0.002499
20.523,0,0.000010,-0.003651,0.002499,0.000000,0.000000,0.003651,-0.002499
20.773,0,0.000010,-0.003651,0.002499,0.000000,0.000000,0.003651,-0.002499
21.024,0,0.000009,-0.003467,0.002372,0.000000,0.000000,0.003467,-0.002373
21.274,0,0.000008,-0.003356,0.002296,0.000000,0.000000,0.003356,-0.002296
21.524,0,0.000008,-0.003356,0.002296,0.000000,0.000000,0.003356,-0.002296
21.774,0,0.000007,-0.003172,0.002169,0.000000,0.000000,0.003172,-0.002170
22.024,0,0.000007,-0.003099,0.002119,0.000000,0.000000,0.003099,-0.002119
22.275,0,0.000007,-0.003099,0.002119,0.000000,0.000000,0.003099,-0.002119
22.525,0,0.000007,-0.003099,0.002119,0.000000,0.000000,0.003099,-0.002119
22.775,0,0.000007,-0.003099,0.002119,0.000000,0.000000,0.003099,-0.002119
23.025,0,0.000006,-0.002766,0.001890,0.000000,0.000000,0.002766,-0.001890
23.275,0,0.000005,-0.002730,0.001865,0.000000,0.000000,0.002730,-0.001865
23.526,0,0.000005,-0.002730,0.001865,0.000000,0.000000,0.002730,-0.001865
23.776,0,0.000005,-0.002730,0.001865,0.000000,0.000000,0.002730,-0.001865
24.027,0,0.000005,-0.002546,0.001739,0.000000,0.000000,0.002546,-0.001739
24.277,0,0.000005,-0.002546,0.001739,0.000000,0.000000,0.002546,-0.001739
24.527,0,0.000004,-0.002362,0.001612,0.000000,0.000000,0.002362,-0.001612
24.777,0,0.000004,-0.002362,0.001612,0.000000,0.000000,0.002362,-0.001612
25.028,0,0.000004,-0.002362,0.001612,0.000000,0.000000,0.002362,-0.001612
25.278,0,0.000004,-0.002362,0.001612,0.000000,0.000000,0.002362,-0.001612
25.528,0,0.000003,-0.002067,0.001410,0.000000,0.000000,0.002067,-0.001410
25.778,0,0.000003,-0.001995,0.001357,0.000000,0.000000,0.001995,-0.001357
26.029,0,0.000003,-0.001995,0.001357,0.000000,0.000000,0.001995,-0.001357
26.279,0,0.000003,-0.001995,0.001357,0.000000,0.000000,0.001995,-0.001357
26.529,0,0.000002,-0.001762,0.001132,0.000000,0.000000,0.001762,-0.001132
26.779,0,0.000002,-0.001688,0.001019,0.000000,0.000000,0.001688,-0.001019
27.030,0,0.000002,-0.001634,0.000901,0.000000,0.000000,0.001634,-0.000902
27.280,0,0.000002,-0.001596,0.000777,0.000000,0.000000,0.001596,-0.000777
27.530,0,0.000002,-0.001607,0.000815,0.000000,0.000000,0.001607,-0.000815
27.780,0,0.000001,-0.001562,0.000582,0.000000,0.000000,0.001562,-0.000582
28.030,0,0.000001,-0.001562,0.000582,0.000000,0.000000,0.001562,-0.000582
28.280,0,0.000001,-0.001551,0.000451,0.000000,0.000000,0.001551,-0.000451
28.530,0,0.000001,-0.001551,0.000451,0.000000,0.000000,0.001551,-0.000451
28.781,0,0.000001,-0.001547,0.000248,0.000000,0.000000,0.001548,-0.000248
29.032,0,0.000001,-0.001550,0.000146,0.000000,0.000000,0.001550,-0.000146
29.282,0,0.000001,-0.001550,0.000146,0.000000,0.000000,0.001550,-0.000146
29.532,0,0.000001,-0.001557,-0.000057,0.000000,0.000000,0.001557,0.000057
29.783,0,0.000001,-0.001559,-0.000108,0.000000,0.000000,0.001559,0.000108
30.033,0,0.000001,-0.001563,-0.000262,0.000000,0.000000,0.001563,0.000262
30.283,0,0.000001,-0.001562,-0.000375,0.000000,0.000000,0.001562,0.000375
30.534,0,0.000001,-0.001562,-0.000375,0.000000,0.000000,0.001562,0.000375
30.784,0,0.000001,-0.001547,-0.000633,0.000000,0.000000,0.001548,0.000633
31.034,0,0.000001,-0.001531,-0.000761,0.000000,0.000000,0.001531,0.000761
31.284,0,0.000001,-0.001529,-0.000774,0.000000,0.000000,0.001529,0.000774
31.534,0,0.000002,-0.001511,-0.000876,0.000000,0.000000,0.001511,0.000876
31.787,0,0.000002,-0.001487,-0.000975,0.000000,0.000000,0.001487,0.000975
32.037,0,0.000002,-0.001459,-0.001074,0.000000,0.000000,0.001459,0.001074
32.287,0,0.000002,-0.001409,-0.001217,0.000000,0.000000,0.001409,0.001217
32.538,0,0.000002,-0.001342,-0.001364,0.000000,0.000000,0.001342,0.001364
32.788,0,0.000002,-0.001347,-0.001353,0.000000,0.000000,0.001347,0.001353
